SYMBOL,COMPANY,COUNTRY,EXCHANGE
WMC1.DE,Alumina Ltd,Germany,XETRA Stock Exchange
2600.HK,Aluminum Corporation,Hong Kong,Hong Kong Stock Exchange
ACHN.MX,Aluminum Corporation,Mexico,Mexico Stock Exchange
AOC.DE,Aluminum Corporation,Germany,XETRA Stock Exchange
AOCA.DE,Aluminum Corporation,Germany,XETRA Stock Exchange
K3HD.SI,Aluminum Corporation,Singapore,Singapore Stock Exchange
ACH,Aluminum Corporation Of China,United States of America,
ALU.V,Anglo Aluminum Corporation,Canada,TSX Venture Exchange
ABX.AX,Australian Bauxite Ltd,Australia,Australian Stock Exchange
ABZ.AX,Australian Bauxite Ltd,Australia,Australian Stock Exchange
4B4.DE,Bauxite Resources Ltd,Germany,XETRA Stock Exchange
BAU.AX,Bauxite Resources Ltd,Australia,Australian Stock Exchange
BHRKALM.BO,Bhoruka Aluminium Ltd,India,Bombay Stock Exchange
CAA.AX,Capral Ltd,Australia,Australian Stock Exchange
EY3.DE,Century Aluminum Co,Germany,XETRA Stock Exchange
CENX,Century Aluminum Co.,United States of America,
CENTEXT.NS,Century Extrusions Ltd,India,National Stock Exchange of India
CENTEXTR.BO,Century Extrusions Ltd,India,Bombay Stock Exchange
C92.SI,China Haida Ltd,Singapore,Singapore Stock Exchange
CO0.DE,China Haida Ltd,Germany,XETRA Stock Exchange
1333.HK,China Zhongwang,Hong Kong,Hong Kong Stock Exchange
0CZ.DE,China Zhongwang Holdings Ltd,Germany,XETRA Stock Exchange
2302.HK,CNNC International Ltd.,Hong Kong,Hong Kong Stock Exchange
UAS.PA,COIL NV,France,Paris Stock Exchange
ELL.DE,Elval Hellenic Aluminium,Germany,XETRA Stock Exchange
GALADA.BO,Galada Power,India,Bombay Stock Exchange
GUJFOIL.BO,Gujarat Foils Ltd,India,Bombay Stock Exchange
HINDALUMI.BO,Hind Aluminium Industries Ltd,India,Bombay Stock Exchange
HINDALCO.BO,Hindalco Industries Ltd,India,Bombay Stock Exchange
HINDALCO.NS,Hindalco Industries Ltd,India,National Stock Exchange of India
4H6.DE,Hulamin Ltd,Germany,XETRA Stock Exchange
KLU1.DE,Kaiser Aluminum Corp,Germany,XETRA Stock Exchange
KALU,Kaiser Aluminum Corporation,United States of America,
C4P.SI,LH Group Ltd,Singapore,Singapore Stock Exchange
MANALU.NS,Maan Aluminium Ltd,India,National Stock Exchange of India
MANALUM.BO,Maan Aluminium Ltd,India,Bombay Stock Exchange
4MH.DE,MHM Metals Ltd,Germany,XETRA Stock Exchange
MHM.AX,MHM Metals Ltd,Australia,Australian Stock Exchange
1021.HK,Midas Holdings Limited,Hong Kong,Hong Kong Stock Exchange
5EN.SI,Midas Holdings Ltd,Singapore,Singapore Stock Exchange
MI2.DE,Midas Holdings Ltd,Germany,XETRA Stock Exchange
NATIONALU.NS,National Aluminium,India,National Stock Exchange of India
NALCO.BO,National Aluminium Co Ltd,India,Bombay Stock Exchange
